type,x,y,z,rotation
Block,28.36361,-2.3,0,0
Block,34.03633,-2.3,0,0
Coin,39.70905,-1.8,0,0
Coin,40.70905,-2.3,0,0
Block_1x10,45.38177,-2.3,0,0
Block_1x10,55.38177,-2.3,0,0
Coin,51.0545,-1.3,0,0
Coin,56.72721,-1.3,0,0
Block,62.39993,-1.3,0,0
Block,65.7363,-0.3,0,0
Block_2x10,69.90902,-2.3,0,0
Coin,70.90902,-0.3,0,0
Coin,73.74538,-0.3,0,0
Coin,76.58173,-0.3,0,0
Coin,79.4181,-0.3,0,0
Coin,45.38177,-1.3,0,0
Coin,62.39993,-0.3,0,0
Coin,65.75,0.7,0,0
Coin,85.09083,-2.3,0,0
Block,90.76355,-2.3,0,0
Block,95.01808,1.2,0,0
Block,99.27263,-2.3,0,0
Coin,90.76355,-1.3,0,0
Coin,95.01808,-2.3,0,0
Coin,99.27263,-1.3,0,0
Block_10x2,104.9454,0.2,0,0
Block_10x2,107.9454,-0.8,0,0
Block,113.4544,-2.3,0,0
Block_2x2,118.1271,-2.3,0,0
Block_2x2,123.7999,-2.3,0,0
Block_3x3,128.9726,-2.3,0,0
Block_2x10,135.1453,-1.3,0,0
Block_1x10,135.1453,-2.3,0,0
Coin,141.818,0.7,0,0
Block_2x2,147.4908,-2.3,0,0
Block_2x2,152.1635,-2.3,0,0
Block_1x10,157.3362,-2.3,0,0
Block,173.018,-2.3,0,0
Block,175.8544,0.2,0,0
Block,178.6907,-2.3,0,0
Block,117.1271,-2.3,0,0
Block,117.1271,-1.3,0,0
Block,122.7999,-1.3,0,0
Block,122.7999,-2.3,0,0
Block,22.69089,-2.3,0,0
Star,119.1271,5.2,0,50.1217
Star,124.7999,4.2,0,16.69559
Star,130.4726,3.2,0,78.47504
Star,136.1453,3.2,0,295.2794
Star,141.818,4.2,0,34.58102
Star,147.4908,3.7,0,103.4876
Star,153.1635,2.7,0,154.4848
Star,158.8362,1.7,0,264.2883
PT_Gravityfalse,195.7089,-1.3,0,0
PT_GravityOn,202.15,16.59,0,0
PT_GravityOn,200.15,16.59,0,0
Block_1x10,202.218,5.23,0,0
Block_1x10,212.218,5.23,0,0
Block,212.7271,6.23,0,0
Block,215.5634,6.23,0,0
Block,221.218,6.23,0,0
Block_1x10,225.4088,4.2,0,0
Block,232.5816,5.2,0,0
Block_2x10,247.0997,0.6999998,0,0
Block,249.5997,2.7,0,0
Block_2x10,257.0997,0.6999998,0,0
Block_2x2,267.1179,1.7,0,0
PT_Ship,268.1179,4.7,0,0
Block_2x5,272.2906,-2.3,0,0
Block_2x5,276.5452,-1.3,0,0
Block_2x2,280.7997,5.7,0,0
Block_2x2,283.6361,4.7,0,0
Block_2x2,286.3088,3.7,0,0
Block_2x2,288.8088,1.7,0,0
PT_Cube,289.3088,-0.8,0,0
Block_5x1,236.2543,2.7,0,0
Block_5x1,241.2543,2.7,0,0
Star,222.51,5.2,0,287.9756
Star,224.01,5.2,0,21.00164
Coin,238.2543,3.7,0,0
Coin,243.927,3.7,0,0
PT_Gravityfalse,294.9815,-1.3,0,0
Block_2x10,294.9906,3.2,0,0
Block_2x10,304.9906,3.2,0,0
Block,303.4906,2.2,0,0
Block,306.3269,-0.3,0,0
Coin,311.9997,2.2,0,0
Coin,314.836,2.2,0,0
Coin,317.6724,2.2,0,0
Block_2x10,314.836,3.2,0,0
Block_2x10,324.836,3.2,0,0
Block_2x10,334.836,3.2,0,0
Block,326.1815,2.2,0,0
Block,329.0178,1.7,0,0
Block_1x10,332.6906,1.2,0,0
Coin,334.6906,0.2,0,0
Coin,337.5269,-0.8,0,0
Coin,340.3633,0.2,0,0
Block_2x10,344.836,3.2,0,0
Block_2x10,346.036,-1.3,0,0
Block,348.84,0.7,0,0
